feature_name,user,inferred,reason
357,,cont,All values are not integers and convert to float
358,,cont,All values are not integers and convert to float
359,,cont,All values are not integers and convert to float
36,,cont,All values are not integers and convert to float
360,,cont,All values are not integers and convert to float
361,,cont,All values are not integers and convert to float
362,,cont,All values are not integers and convert to float
363,,cont,All values are not integers and convert to float
364,,cont,All values are not integers and convert to float
365,,cont,All values are not integers and convert to float
366,,cont,All values are not integers and convert to float
367,,cont,All values are not integers and convert to float
368,,cont,All values are not integers and convert to float
369,,cont,All values are not integers and convert to float
37,,cont,All values are not integers and convert to float
370,,cont,All values are not integers and convert to float
371,,cont,All values are not integers and convert to float
372,,cont,All values are not integers and convert to float
373,,cont,All values are not integers and convert to float
374,,cont,All values are not integers and convert to float
375,,cont,All values are not integers and convert to float
376,,cont,All values are not integers and convert to float
377,,cont,All values are not integers and convert to float
378,,cont,All values are not integers and convert to float
379,,cont,All values are not integers and convert to float
38,,cont,All values are not integers and convert to float
380,,cont,All values are not integers and convert to float
381,,cont,All values are not integers and convert to float
382,,cont,All values are not integers and convert to float
383,,cont,All values are not integers and convert to float
384,,cont,All values are not integers and convert to float
385,,cont,All values are not integers and convert to float
386,,cont,All values are not integers and convert to float
387,,cont,All values are not integers and convert to float
388,,cont,All values are not integers and convert to float
389,,cont,All values are not integers and convert to float
39,,cont,All values are not integers and convert to float
390,,cont,All values are not integers and convert to float
391,,cont,All values are not integers and convert to float
392,,cont,All values are not integers and convert to float
393,,cont,All values are not integers and convert to float
394,,cont,All values are not integers and convert to float
395,,cont,All values are not integers and convert to float
396,,cont,All values are not integers and convert to float
397,,cont,All values are not integers and convert to float
398,,cont,All values are not integers and convert to float
399,,cont,All values are not integers and convert to float
4,,cont,All values are not integers and convert to float
40,,cont,All values are not integers and convert to float
400,,cont,All values are not integers and convert to float
401,,cont,All values are not integers and convert to float
402,,cont,All values are not integers and convert to float
403,,cont,All values are not integers and convert to float
404,,cont,All values are not integers and convert to float
405,,cont,All values are not integers and convert to float
406,,cont,All values are not integers and convert to float
407,,cont,All values are not integers and convert to float
408,,cont,All values are not integers and convert to float
409,,cont,All values are not integers and convert to float
41,,cont,All values are not integers and convert to float
410,,cont,All values are not integers and convert to float
411,,cont,All values are not integers and convert to float
412,,cont,All values are not integers and convert to float
413,,cont,All values are not integers and convert to float
414,,cont,All values are not integers and convert to float
415,,cont,All values are not integers and convert to float
416,,cont,All values are not integers and convert to float
417,,cont,All values are not integers and convert to float
418,,cont,All values are not integers and convert to float
419,,cont,All values are not integers and convert to float
42,,cont,All values are not integers and convert to float
420,,cont,All values are not integers and convert to float
421,,cont,All values are not integers and convert to float
422,,cont,All values are not integers and convert to float
423,,cont,All values are not integers and convert to float
424,,cont,All values are not integers and convert to float
425,,cont,All values are not integers and convert to float
426,,cont,All values are not integers and convert to float
427,,cont,All values are not integers and convert to float
428,,cont,All values are not integers and convert to float
429,,cont,All values are not integers and convert to float
43,,cont,All values are not integers and convert to float
430,,cont,All values are not integers and convert to float
431,,cont,All values are not integers and convert to float
432,,cont,All values are not integers and convert to float
433,,cont,All values are not integers and convert to float
434,,cont,All values are not integers and convert to float
435,,cont,All values are not integers and convert to float
436,,cont,All values are not integers and convert to float
437,,cont,All values are not integers and convert to float
438,,cont,All values are not integers and convert to float
439,,cont,All values are not integers and convert to float
44,,cont,All values are not integers and convert to float
440,,cont,All values are not integers and convert to float
441,,cont,All values are not integers and convert to float
442,,cont,All values are not integers and convert to float
443,,cont,All values are not integers and convert to float
444,,cont,All values are not integers and convert to float
445,,cont,All values are not integers and convert to float
446,,cont,All values are not integers and convert to float
447,,cont,All values are not integers and convert to float
448,,cont,All values are not integers and convert to float
