,t,t_p,U,U_p,W,W_p,cohen_d,AUROC,corr,corr_p,mut_info
6__label.6,11.846784941060022,1.553882479852999e-26,2054798.0,1.2807496855594403e-11,-9.648195908269274,5.00280789384727e-22,-0.48074812598440453,0.6233733059568188,-0.06632434145109,2.7818040463688942e-14,0.005994568063070638
7__label.0,40.824452451900115,3.1796030182444087e-198,6271271.0,1.168587017523191e-136,-40.527329262662384,0.0,-1.0977999259090654,0.7926411048112917,-0.2289163409507771,1.042068316141366e-155,0.034877464071832565
7__label.1,130.38938785538224,0.0,33964884.0,0.0,-167.15489248688698,0.0,-2.009149903016944,0.9148901938116578,-0.6819053355646244,0.0,0.3110988412575797
7__label.2,46.155639158108244,5.657872417208123e-265,6341820.0,3.5488797717300356e-91,-40.38774342804341,0.0,-0.8924714029887832,0.7267845232447002,-0.19684276934451755,7.536901022284188e-115,0.044258647987283295
7__label.3,14.773319526570017,8.278098967574582e-47,6743030.5,3.964171383518932e-15,-14.643473688548786,1.4829408620628122e-48,-0.25657608534206455,0.5759562213752847,-0.066708738187026,1.974459875542643e-14,0.08430892667746903
7__label.4,-84.5651875959477,0.0,6106015.0,0.0,71.3602525286215,0.0,1.1336047024306473,0.7776592521707848,0.412190662430431,0.0,0.16488535383850444
7__label.5,-91.28541675994938,0.0,5617752.5,0.0,101.31145812745419,0.0,1.4266661009373576,0.8427971888055923,0.5446904839437794,0.0,0.20168006094830226
7__label.6,-19.719987321475195,4.2786407279917205e-55,937322.0,2.5896147723551963e-32,18.121641292041353,2.1508211921035988e-73,0.770240818219778,0.7156404114243554,0.10589860468526381,4.573133372497481e-34,0.008127131248598873
8__label.0,-64.7474239289252,1.04270548571e-311,470286.0,4.337156162058902e-307,84.249123593069,0.0,1.9668770109790832,0.9405594153693433,0.38827145519173123,0.0,0.09525420103152338
8__label.1,90.69240357987957,0.0,33398742.5,0.0,-115.0518849763639,0.0,-1.7614443333992926,0.8996404050398245,-0.6328463583309274,0.0,0.30325611277534903
8__label.2,-6.228505667033877,6.754440778714143e-10,4217976.5,0.13799223512320025,2.30373615208978,0.02123745913915323,0.13011314299531024,0.5166119442668115,0.029257790541868712,0.0007988488225983949,0.04127861706642699
8__label.3,-62.302509349094485,0.0,1317358.0,0.0,80.86860800223174,0.0,1.4112416297116666,0.8874778134433025,0.34513935941004187,0.0,0.09173040924192533
8__label.4,-30.274041985363027,1.148195647572277e-190,9114752.0,3.168699005706217e-156,34.349839713405885,1.4161973912660293e-258,0.46068724606319056,0.6681009175447757,0.1808251740972293,6.315622897534738e-97,0.09400255192424978
8__label.5,-12.970149385716686,3.162673184022023e-38,15900209.0,2.5333668294521722e-23,11.319583049421626,1.0496998015080843e-29,0.19335032882237524,0.5550609334642947,0.08768438548788804,7.759642782196072e-24,0.10107413514508323
8__label.6,-2.022244494737977,0.04412686731097183,1562771.0,0.15527804187524977,1.58954556916874,0.11193727458294565,0.09821541751567144,0.5258951367854924,0.01357851552956569,0.1197193260991138,0.005830159453483308
9__label.0,-1.187065525167229,0.2355718200911922,4011715.0,0.5488705486853042,-0.7838572222805654,0.4331238929300091,0.035939021583620334,0.5070503586574446,0.007698304214450299,0.3777141923740448,0.0204528547232552
9__label.1,36.07936508720942,7.074221691402827e-272,26742723.5,0.0,-50.32596579209493,0.0,-0.5284021167717663,0.7203515102824015,-0.2381335057244341,1.0440552601427875e-168,0.19700953182605163
9__label.2,40.221922125399956,1.1256765549766602e-212,7095317.0,4.89826645456686e-172,-50.66229311719682,0.0,-0.8872446053224594,0.8131366994198852,-0.19573424281936494,1.479530938468889e-113,0.0601538822711869
9__label.3,115.6761931368043,0.0,11486090.5,0.0,-198.37146443510707,0.0,-3.0426818048977955,0.981084882050371,-0.6212732560503329,0.0,0.20127228350615745
9__label.4,-85.7067256026287,0.0,3649773.5,0.0,103.10178005460435,0.0,1.2861164217882872,0.8670993488556362,0.4566382377421061,0.0,0.16400742329060702
9__label.5,-44.98130036401424,0.0,10733471.5,5.4736573937011995e-285,43.28750420805481,0.0,0.7192385726071384,0.6996428921218837,0.3111791412583754,9.300623939425283e-293,0.07913177989214137
9__label.6,13.393329041733963,3.659619141639162e-32,2263004.0,1.3495173561008573e-24,-17.04898654759679,3.5564630578231943e-65,-0.47889894964187085,0.6865376961012737,-0.06607034359931072,3.485295470929243e-14,0.010817871711096494
10__label.0,-16.002074728345494,1.4181702998193602e-51,3408717.0,4.0857098087298254e-09,10.100837875275426,5.4772194676250625e-24,0.31633593937574866,0.569164016533645,0.06760758390193701,8.791036149218046e-15,0.02938502331378734
10__label.1,171.4823105302217,0.0,36051975.0,0.0,-300.6822339772865,0.0,-2.8024230281528513,0.9711088191863998,-0.7927075133091356,0.0,0.44212420048712
10__label.2,-86.88861859675669,0.0,337412.0,0.0,110.63893084542518,0.0,1.838011376794233,0.9613319489425683,0.3821047403308564,0.0,0.13189421476600993
10__label.3,0.6405869644691653,0.5218906979607432,6332352.5,2.35806272980764e-05,-6.255353518932797,3.9661645196204116e-10,-0.013514273091499978,0.5408781434870178,-0.0035214783523041977,0.686575702990794,0.047228816064228685
10__label.4,-62.437389606300606,0.0,5733926.5,0.0,66.60756583191251,0.0,0.9955079123614218,0.7912082584127691,0.3692249012587908,0.0,0.13916665858586108
10__label.5,-40.180904231452025,0.0,12424062.0,8.347370323145042e-167,32.90343439814194,1.9628146734579007e-237,0.5972256007158422,0.6523347240994298,0.26236449031998277,1.2105383424019517e-205,0.14431692417894282
10__label.6,-2.1534762633560445,0.03211210187604108,1693650.0,0.4485078812340473,-1.2432879370061904,0.2137617478029128,0.07894268430543423,0.5138102137698042,0.010914370378005632,0.2110622753360012,0.01260728610623607
11__label.0,4.420982898072018,1.130862560100307e-05,4209342.5,0.006463965003101573,-3.221034338235536,0.001277288433478381,-0.14792530108142668,0.5320289762201513,-0.031671324575609706,0.0002834886882824356,0.0052999657238967934
11__label.1,96.89747057913152,0.0,32457423.5,0.0,-122.41001437308321,0.0,-1.491401012236418,0.8742847017096262,-0.5690576385010311,0.0,0.22474590847786002
11__label.2,-56.4938618232857,0.0,1639476.0,6.304804708612397e-171,67.93989270341255,0.0,1.128383844570936,0.8121129607855272,0.24603872610730937,2.583984098781242e-180,0.06406387342800435
11__label.3,-90.62996327774619,0.0,619837.5,0.0,125.58649729006682,0.0,2.0292082693392977,0.9470565550064317,0.4674401881835242,0.0,0.1390839753524291
11__label.4,31.62148657021986,7.12258646093978e-206,16936481.5,2.5509623233198275e-76,-23.365209336223472,9.654553680241377e-121,-0.4963235454157428,0.6167148233841009,-0.19430304718703423,6.726477984234393e-112,0.05891942559929508
11__label.5,-54.24351117515933,0.0,8328724.5,0.0,64.35583171139339,0.0,0.9203884599931027,0.7669354594984846,0.3864562721534317,0.0,0.15726648592551462
11__label.6,6.665335639134012,1.3489978009407044e-10,1790809.5,0.017522778371979682,-3.8184356655570575,0.00013430059717290462,-0.2464039482168981,0.5432859280347158,-0.03404931913210098,9.514927035627841e-05,0.007823494971942901
12__label.0,53.58825363581491,3.969685458694775e-247,7407068.0,4.419965223445927e-301,-64.95848082647842,0.0,-2.4068867205339357,0.936197233851378,-0.4582586015206001,0.0,0.11050445879837856
12__label.1,-59.95441592206148,0.0,7402884.0,0.0,73.51420449015536,0.0,1.0092119589401742,0.8005932840069402,0.42409253547096104,0.0,0.16349479110862797
12__label.2,-41.35328105030209,2.8211908031258686e-201,1079460.0,1.6852200283302547e-247,42.58235426932165,0.0,1.4450678956149192,0.8762918497431772,0.30915766663649125,8.457412469469252e-289,0.0831308736459766
12__label.3,-1.5878482252050088,0.11255045622785335,5849606.0,0.9706588900711924,0.048787664053640496,0.9610885131273273,0.036186247847082686,0.5003556682274841,0.009428861848377228,0.2799547457961884,0.017018780644817877
12__label.4,62.81302376715129,0.0,22355316.5,0.0,-79.77330668820012,0.0,-0.9460025610038174,0.8140330131139207,-0.353206562793727,0.0,0.1681520792973874
12__label.5,3.135901901484754,0.001717456753969397,19263860.5,1.6764914735419743e-12,-7.9060217177529415,2.6574483581987356e-15,-0.04865510808534151,0.5390648707035262,-0.022144979023206703,0.01115605982362663,0.07297970861954295
12__label.6,18.59376358701364,3.734364869705743e-50,2623900.0,2.3844136098379184e-59,-21.004892565845815,5.91672273448566e-98,-1.034838023330135,0.7960243379155016,-0.14163950470113446,8.11982314073738e-60,0.01729919082654896
13__label.0,-45.81447310908275,1.968298496324157e-209,698221.0,1.6314969371302742e-268,66.24369720116603,0.0,2.2334771487796066,0.9117501596020258,0.4315835403648891,0.0,0.07406691304629609
13__label.1,73.4341831954994,0.0,30726006.0,0.0,-87.74380935593756,0.0,-1.1450599706190068,0.827646624213354,-0.4692075218443423,0.0,0.1767821302785444
13__label.2,-42.25972716502777,2.5734430895417413e-218,1500726.0,1.4305971271936954e-188,66.96099298053424,0.0,1.0665247796040724,0.8280139722617599,0.23330489123061043,7.939805841989608e-162,0.06368736914983919
13__label.3,-16.294923549575252,1.6859568098149714e-54,3759074.5,1.8706131102551345e-76,29.408025727497957,4.336064460038403e-190,0.3963344334340295,0.6789185003852217,0.10272899616018757,3.7961876577706435e-32,0.04456272406606243
13__label.4,45.52632064325221,0.0,18241471.5,3.2623655795662534e-149,-35.16943409882141,5.866376927872257e-271,-0.6141271462326657,0.6642339422381567,-0.23804691847398385,1.3915578810941972e-168,0.09806605979760974
13__label.5,-32.20639031858179,5.2450971132906025e-214,10556204.0,3.231204048383584e-299,44.10717480195045,0.0,0.5908686425176494,0.7046034077966851,0.2597612245369771,1.7624283807600172e-201,0.06846848271542649
13__label.6,-29.223531945649825,4.642550915514132e-87,500392.0,2.1213702287393284e-81,39.32277565439007,0.0,1.207108029447032,0.8481938296054675,0.16462382308772128,1.9495889802492614e-80,0.021598479715871033
14__label.0,35.16294436712149,2.529778623874484e-160,6399963.0,4.832443604240932e-152,-40.41360184776543,0.0,-1.13391033136269,0.808906797851885,-0.23603300385797804,1.0749532884204107e-165,0.03425599499274923
14__label.1,49.04369031698831,0.0,27615166.0,0.0,-54.11751417646801,0.0,-0.9034136220622712,0.7438519317151533,-0.38660382373016944,0.0,0.09037529998608895
14__label.2,-39.58659248195553,3.1957718873442777e-189,1129794.0,4.917711996847329e-240,40.45683358430645,0.0,1.5156860301721555,0.8705234784880802,0.3227251744815798,5.66915704e-316,0.09150701284197948
14__label.3,42.03648058854298,7.884756268956816e-251,9041354.5,1.7918604001434792e-174,-50.02778808441075,0.0,-0.9325509794632676,0.7722676582783403,-0.23612909684107974,7.838218881156492e-166,0.0475255814950013
14__label.4,-65.01568904346867,0.0,6366803.5,0.0,65.60898759313889,0.0,0.9190784333314727,0.7681630570066295,0.3443613909835531,0.0,0.12724736070544096
